trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
155,False,"{'a': 0.5, 'e': 0.2637499999999978}",25,8,31.90457376583951,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.25899999999999784}",25,0,-11.384179175158899,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
157,False,"{'a': 0.5, 'e': 0.25424999999999787}",35,20,-3.201759180221752,"{0: 12, 1: 2, 2: 0, 3: 1, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.24949999999999786}",30,18,-4.497861148003458,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.24474999999999786}",20,0,-40.77254159158139,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",1
160,False,"{'a': 0.5, 'e': 0.23999999999999785}",25,13,-32.17766305621418,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 1}",1
161,False,"{'a': 0.5, 'e': 0.23524999999999785}",25,8,1.2313986272895894,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.23049999999999785}",20,13,-9.725792749310225,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.22574999999999784}",25,9,7.825913427062347,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.22099999999999784}",20,8,21.464737693513566,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.21624999999999783}",20,8,21.87951708932346,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.21149999999999783}",30,13,14.320522358612177,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.20674999999999782}",20,8,18.27016635144187,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.20199999999999782}",20,16,7.055650420295267,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.19724999999999782}",20,10,-28.36308043905364,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
170,False,"{'a': 0.5, 'e': 0.1924999999999978}",20,10,15.552816189502165,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.1877499999999978}",20,3,-37.6482995655722,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
172,False,"{'a': 0.5, 'e': 0.1829999999999978}",20,0,21.37834243743948,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
173,False,"{'a': 0.5, 'e': 0.1782499999999978}",20,14,4.165933687667348,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.1734999999999978}",25,18,12.988158523192054,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.1687499999999978}",20,13,0.4431936130089549,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.1639999999999978}",25,7,-4.6824407840433935,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
177,False,"{'a': 0.5, 'e': 0.15924999999999778}",20,0,12.951995562478267,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
178,False,"{'a': 0.5, 'e': 0.15449999999999778}",20,9,12.682961708038068,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.14974999999999777}",20,8,10.329576588824779,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.14499999999999777}",35,15,34.89543483758133,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.14024999999999777}",20,15,9.74005990206905,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.13549999999999776}",20,6,9.936204965633081,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
